2026-02-02 21:36:13,451 - INFO - device=cuda
2026-02-02 21:36:13,456 - INFO - region_meta: {'n_regions': 154, 'n_cities': 2, 'region_city_counts': {'0': 77, '1': 77}, 'static_dim': 4, 'deg': {'p50': 4.0, 'p90': 8.0, 'max': 12}, 'n_ways': {'p50': 106.5, 'p90': 170.70000000000002, 'max': 239.0}, 'coord_scale': 1024.0}
2026-02-02 21:36:15,251 - INFO - [epoch 000] train={'loss': 4.187200228696347, 'acc': 0.12006696911355628, 'invalid_rate': 0.6977995694809854, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 3.5315711763170032, 'acc': 0.1982570861289704, 'invalid_rate': 0.5893246187363834, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:36:16,137 - INFO - [epoch 001] train={'loss': 3.1940929823815893, 'acc': 0.29586223135993, 'invalid_rate': 0.43506338196603683, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 2.578861814698363, 'acc': 0.41067538463991454, 'invalid_rate': 0.2625272331154684, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:36:16,908 - INFO - [epoch 002] train={'loss': 2.4209138145574514, 'acc': 0.477995695554734, 'invalid_rate': 0.2023439368572112, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 1.8299333620694727, 'acc': 0.5882352952863655, 'invalid_rate': 0.06862745098039216, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:36:17,543 - INFO - [epoch 003] train={'loss': 1.8309272142067905, 'acc': 0.6134895898243138, 'invalid_rate': 0.0699593398708443, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 1.3894166689293057, 'acc': 0.6666666690041038, 'invalid_rate': 0.026143790849673203, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:36:18,186 - INFO - [epoch 004] train={'loss': 1.4580470613388603, 'acc': 0.6783066243040193, 'invalid_rate': 0.03456110978234872, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 1.1347416530247607, 'acc': 0.7244008810691585, 'invalid_rate': 0.011982570806100218, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:36:18,811 - INFO - [epoch 005] train={'loss': 1.228624874868053, 'acc': 0.7213585274238331, 'invalid_rate': 0.02092800765367137, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.9985996663959977, 'acc': 0.7527232995999404, 'invalid_rate': 0.006535947712418301, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:36:19,435 - INFO - [epoch 006] train={'loss': 1.0635618771898836, 'acc': 0.7574742860527194, 'invalid_rate': 0.015187754125807224, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.8762998943235359, 'acc': 0.7712418401942533, 'invalid_rate': 0.0032679738562091504, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:36:20,075 - INFO - [epoch 007] train={'loss': 0.9401137143537435, 'acc': 0.7829466669703751, 'invalid_rate': 0.010165032288926094, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.7978278067376878, 'acc': 0.7864923671959272, 'invalid_rate': 0.006535947712418301, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:36:20,720 - INFO - [epoch 008] train={'loss': 0.8429460113013199, 'acc': 0.8041138465582426, 'invalid_rate': 0.009925855058598422, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.7341731097183976, 'acc': 0.8028322723176744, 'invalid_rate': 0.004357298474945534, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:36:21,337 - INFO - [epoch 009] train={'loss': 0.7643426487004463, 'acc': 0.8191820097023778, 'invalid_rate': 0.008610380291796222, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.6710575078827103, 'acc': 0.8213507533073425, 'invalid_rate': 0.0032679738562091504, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:36:21,968 - INFO - [epoch 010] train={'loss': 0.6981995296133274, 'acc': 0.8389141337348639, 'invalid_rate': 0.006218607988519493, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.6280347962005466, 'acc': 0.8289760456365698, 'invalid_rate': 0.002178649237472767, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:36:22,622 - INFO - [epoch 011] train={'loss': 0.6385770563416663, 'acc': 0.8446543952390013, 'invalid_rate': 0.006457785218847166, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.5905886261291753, 'acc': 0.8496731846940284, 'invalid_rate': 0.0032679738562091504, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:36:23,253 - INFO - [epoch 012] train={'loss': 0.5914355326115129, 'acc': 0.855895718328407, 'invalid_rate': 0.00466395599138962, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.5673399945489721, 'acc': 0.8464052307060341, 'invalid_rate': 0.002178649237472767, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
2026-02-02 21:36:23,880 - INFO - [epoch 013] train={'loss': 0.5545003340592711, 'acc': 0.8623535051011663, 'invalid_rate': 0.004783544606553456, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 8362.0} val={'loss': 0.5467128749766381, 'acc': 0.8594771335327548, 'invalid_rate': 0.0010893246187363833, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 918.0}
