2026-02-12 10:59:09,173 - INFO - device=cuda
2026-02-12 10:59:09,176 - WARNING - way_regions_npz meta/per_city missing; fallback to single-city mapping (all regions -> city 0).
2026-02-12 10:59:09,181 - INFO - region_meta: {'n_regions': 113, 'n_cities': 1, 'region_city_counts': {'0': 113}, 'static_dim': 4, 'deg': {'p50': 35.0, 'p90': 68.8, 'max': 92}, 'n_ways': {'p50': 307.0, 'p90': 481.0, 'max': 680.0}, 'coord_scale': 1024.0}
2026-02-12 10:59:10,070 - INFO - split_json=/home/jinlin/data/geoexplicit_data/experiments/icml2026_routegen/WAYCASD0_waydata_porto_seed0/W5_way_routes_strict_gate/od_split_min3_max160_seed0_dev10p.json train_routes=108153 val_routes=13086 => train_idx=108153 val_idx=13086
2026-02-12 10:59:17,025 - INFO - [epoch 000] train={'loss': 1.8002454020250394, 'acc': 0.4803812885606307, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.9931530345055724, 'acc': 0.6738646075870098, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 10:59:23,233 - INFO - [epoch 001] train={'loss': 0.9918126788937753, 'acc': 0.6768403017111876, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.8118155659241051, 'acc': 0.7299485932662125, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 10:59:29,380 - INFO - [epoch 002] train={'loss': 0.8522087656280268, 'acc': 0.7174999743459111, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.7511347883171062, 'acc': 0.7442159403118703, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 10:59:35,609 - INFO - [epoch 003] train={'loss': 0.7897796711748855, 'acc': 0.7340990137060868, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.7203733845894011, 'acc': 0.7544558673420316, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 10:59:41,847 - INFO - [epoch 004] train={'loss': 0.7537795112806858, 'acc': 0.743320120436809, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.7070704210029265, 'acc': 0.7583761726803726, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 10:59:48,016 - INFO - [epoch 005] train={'loss': 0.7287689754921046, 'acc': 0.7504130812371985, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.6935788903886575, 'acc': 0.7620394169122313, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 10:59:54,176 - INFO - [epoch 006] train={'loss': 0.7096596158944389, 'acc': 0.7555504428095012, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.6811212057894177, 'acc': 0.7661525248268167, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 11:00:00,440 - INFO - [epoch 007] train={'loss': 0.6944552891542877, 'acc': 0.7601335451206199, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.6747810625044218, 'acc': 0.7681233912540381, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 11:00:06,706 - INFO - [epoch 008] train={'loss': 0.6833713782076373, 'acc': 0.7628760860600529, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.6709070141372153, 'acc': 0.7681448155511315, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 11:00:12,871 - INFO - [epoch 009] train={'loss': 0.6707866378382925, 'acc': 0.7665911968999053, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.6652089761533386, 'acc': 0.7681662330182066, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
2026-02-12 11:00:19,123 - INFO - [epoch 010] train={'loss': 0.6617601567587387, 'acc': 0.7684108416827428, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 382492.0} val={'loss': 0.6639879687496915, 'acc': 0.7692802049238762, 'invalid_rate': 0.0, 'tgt_not_neighbor_rate': 0.0, 'n_tokens': 46680.0}
